Name,Balls,Runs,Wkts,Ave,Econ
VC Drakes (WI),1640,1293,51,25.35,4.73
BJ McCarthy (IRE),1389,1360,51,26.66,5.87
AM Blignaut (ZIM),2348,2063,50,41.26,5.27
GJ Maxwell (AUS),2698,2525,50,50.5,5.61
JA Morkel (Afr/SA),2073,1899,50,37.98,5.49
PM Seelaar (NL),1901,1476,50,29.52,4.65
T Thushara (SL),1676,1393,50,27.86,4.98
JH Davey (SCOT),1301,1082,49,22.08,4.99
CD McMillan (NZ),1879,1717,49,35.04,5.48
AR Nurse (WI),2384,2125,49,43.36,5.34
JS Patel (NZ),2014,1691,49,34.51,5.03
GR Dilley (ENG),2043,1291,48,26.89,3.79
JK Kamande (KENYA),2619,2169,48,45.18,4.96
S Lee (AUS),1706,1245,48,25.93,4.37
JF Mooney (IRE),1797,1635,48,34.06,5.45
CH Morris (SA),1894,1756,48,36.58,5.56
ARC Fraser (ENG),2392,1412,47,30.04,3.54
Shahadat Hossain (BDESH),2198,2143,47,45.59,5.84
M Amarnath (INDIA),2730,1971,46,42.84,4.33
PW Borren (NL),1979,1620,46,35.21,4.91
N Chopra (INDIA),1835,1286,46,27.95,4.2
AC Evans (SCOT),1678,1499,46,32.58,5.35
NAM McLean (WI),2120,1729,46,37.58,4.89
Mirwais Ashraf (AFG),2009,1360,46,29.56,4.06
Mohammad Asif (Asia/PAK),1941,1524,46,33.13,4.71
SB O'Connor (NZ),1487,1396,46,30.34,5.63
Samiullah Shinwari (AFG),2111,1729,46,37.58,4.91
BC Strang (ZIM),2494,1718,46,37.34,4.13
MR Whitney (AUS),2106,1249,46,27.15,3.55
RDB Croft (ENG),2466,1743,45,38.73,4.24
GF Labrooy (SL),2308,1876,45,41.68,4.87
NO Miller (WI),2125,1660,45,36.88,4.68
CM Old (ENG),1755,999,45,22.2,3.41
H Osinde (CAN),1692,1389,45,30.86,4.92
AR Patel (INDIA),1908,1409,45,31.31,4.43
DN Patel (NZ),3251,2261,45,50.24,4.17
EC Rainsford (ZIM),1907,1401,45,31.13,4.4
Taskin Ahmed (BDESH),1413,1401,45,31.13,5.94
AR Whittall (ZIM),3085,2251,45,50.02,4.37
HS Baidwan (CAN),1551,1348,44,30.63,5.21
SP Davis (AUS),2016,1133,44,25.75,3.37
S Elworthy (SA),1702,1235,44,28.06,4.35
AH Gray (WI),1270,835,44,18.97,3.94
RJ Harris (AUS),1031,832,44,18.9,4.84
VJ Marks (ENG),1838,1135,44,25.79,3.7
MR Marsh (AUS),1700,1564,44,35.54,5.52
Nazmul Hossain (BDESH),1649,1386,44,31.5,5.04
DR Pringle (ENG),2379,1677,44,38.11,4.22
RP Snell (SA),2095,1574,44,35.77,4.5
DP Viljoen (ZIM),2075,1639,44,37.25,4.73
JC Adams (WI),1856,1499,43,34.86,4.84
CR Brathwaite (WI),1825,1766,43,41.06,5.8
CJ Jordan (ENG),1532,1521,43,35.37,5.95
Shapoor Zadran (AFG),1983,1589,43,36.95,4.8
PR Stirling (IRE),2392,1902,43,44.23,4.77
MA Suji (KENYA),2952,2190,43,50.93,4.45
KLT Arthurton (WI),1384,1159,42,27.59,5.02
AC Botha (IRE),1560,1134,42,27,4.36
JW Hastings (AUS),1486,1256,42,29.9,5.07
Imad Wasim (PAK),2313,1865,42,44.4,4.83
AR McBrine (IRE),2045,1489,42,35.45,4.36
SA Thomson (NZ),2121,1602,42,38.14,4.53
Aftab Alam (AFG),1257,1033,41,25.19,4.93
JAR Blain (SCOT),1329,1173,41,28.6,5.29
DG Cork (ENG),1772,1368,41,33.36,4.63
CE Cuffy (WI),2153,1436,41,35.02,4
S Dhaniram (CAN),1769,1240,41,30.24,4.2
SM Ervine (ZIM),1649,1561,41,38.07,5.67
HA Gomes (WI),1345,1045,41,25.48,4.66
AF Milne (NZ),1801,1581,41,38.56,5.26
L Ngidi (SA),1026,947,41,23.09,5.53
VD Philander (SA),1279,986,41,24.04,4.62
Amir Hamza (AFG),1552,1016,40,25.4,3.92
RP Arnold (SL),2157,1739,40,43.47,4.83
